Pvm;Kulutus (Wh)
1.1.2021;71000
2.1.2021;70700
3.1.2021;67290
4.1.2021;66320
5.1.2021;78670
6.1.2021;76550
7.1.2021;79340
8.1.2021;81870
9.1.2021;84200
10.1.2021;83850
11.1.2021;92690
12.1.2021;100990
13.1.2021;114710
14.1.2021;110400
15.1.2021;135720
16.1.2021;137330
17.1.2021;107190
18.1.2021;92440
19.1.2021;79450
20.1.2021;75580
21.1.2021;84610
22.1.2021;88540
23.1.2021;74020
24.1.2021;69520
25.1.2021;77400
26.1.2021;69190
27.1.2021;65670
28.1.2021;64330
29.1.2021;68190
30.1.2021;70740
31.1.2021;76010
1.2.2021;99290
2.2.2021;90320
3.2.2021;87170
4.2.2021;101070
5.2.2021;120370
6.2.2021;102570
7.2.2021;94040
8.2.2021;91630
9.2.2021;108160
10.2.2021;110170
11.2.2021;103440
12.2.2021;102230
13.2.2021;91990
14.2.2021;88410
15.2.2021;95830
16.2.2021;93680
17.2.2021;111160
18.2.2021;117040
19.2.2021;103730
20.2.2021;88440
21.2.2021;94250
22.2.2021;98230
23.2.2021;111230
24.2.2021;92250
25.2.2021;79190
26.2.2021;66930
27.2.2021;62800
28.2.2021;70290
1.3.2021;79450
2.3.2021;75160
3.3.2021;84040
4.3.2021;92480
5.3.2021;97470
6.3.2021;95880
7.3.2021;75710
8.3.2021;98210
9.3.2021;107770
10.3.2021;102890
11.3.2021;103580
12.3.2021;97380
13.3.2021;74300
14.3.2021;68760
15.3.2021;74080
16.3.2021;78610
17.3.2021;83230
18.3.2021;78490
19.3.2021;89100
20.3.2021;83120
21.3.2021;68740
22.3.2021;78010
23.3.2021;82570
24.3.2021;61290
25.3.2021;59940
26.3.2021;66780
27.3.2021;60560
28.3.2021;49220
29.3.2021;70170
30.3.2021;54290
31.3.2021;50180
1.4.2021;55780
2.4.2021;58740
3.4.2021;71360
4.4.2021;68120
5.4.2021;78250
6.4.2021;81330
7.4.2021;73430
8.4.2021;68540
9.4.2021;72160
10.4.2021;61160
11.4.2021;52240
12.4.2021;42770
13.4.2021;51180
14.4.2021;53070
15.4.2021;52130
16.4.2021;55080
17.4.2021;46770
18.4.2021;47420
19.4.2021;49410
20.4.2021;52060
21.4.2021;54890
22.4.2021;53280
23.4.2021;55440
24.4.2021;60420
25.4.2021;78640
26.4.2021;68670
27.4.2021;73100
28.4.2021;71170
29.4.2021;54590
30.4.2021;50260
1.5.2021;54150
2.5.2021;53480
3.5.2021;56510
4.5.2021;60220
5.5.2021;56680
6.5.2021;66980
7.5.2021;60970
8.5.2021;49920
9.5.2021;47100
10.5.2021;41760
11.5.2021;29390
12.5.2021;20320
13.5.2021;18970
14.5.2021;29480
15.5.2021;21010
16.5.2021;25780
17.5.2021;27070
18.5.2021;24000
19.5.2021;27890
20.5.2021;29770
21.5.2021;39720
22.5.2021;44130
23.5.2021;38120
24.5.2021;38000
25.5.2021;42690
26.5.2021;45080
27.5.2021;38300
28.5.2021;32630
29.5.2021;37340
30.5.2021;35090
31.5.2021;37770
1.6.2021;33490
2.6.2021;23270
3.6.2021;23660
4.6.2021;23310
5.6.2021;33380
6.6.2021;37330
7.6.2021;32510
8.6.2021;29190
9.6.2021;21080
10.6.2021;17920
11.6.2021;17140
12.6.2021;24450
13.6.2021;18800
14.6.2021;15470
15.6.2021;22760
16.6.2021;29990
17.6.2021;23520
18.6.2021;21250
19.6.2021;12700
20.6.2021;12360
21.6.2021;20350
22.6.2021;31900
23.6.2021;34300
24.6.2021;31790
25.6.2021;26090
26.6.2021;26730
27.6.2021;20080
28.6.2021;26340
29.6.2021;22010
30.6.2021;24230
1.7.2021;20360
2.7.2021;26800
3.7.2021;24870
4.7.2021;32450
5.7.2021;24720
6.7.2021;20190
7.7.2021;19530
8.7.2021;20500
9.7.2021;19600
10.7.2021;20470
11.7.2021;19070
12.7.2021;10520
