Päiväys ja klo;Energian kulutus Yö (Wh);Energian kulutus Päivä (Wh)
1.1.2021 0:00;3490;0
1.1.2021 1:00;2030;0
1.1.2021 2:00;2760;0
1.1.2021 3:00;2820;0
1.1.2021 4:00;2970;0
1.1.2021 5:00;2940;0
1.1.2021 6:00;2940;0
1.1.2021 7:00;0;2910
1.1.2021 8:00;0;2530
1.1.2021 9:00;0;2200
1.1.2021 10:00;0;2170
1.1.2021 11:00;0;2200
1.1.2021 12:00;0;2330
1.1.2021 13:00;0;2530
1.1.2021 14:00;0;2670
1.1.2021 15:00;0;3300
1.1.2021 16:00;0;3600
1.1.2021 17:00;0;3700
1.1.2021 18:00;0;4430
1.1.2021 19:00;0;3510
1.1.2021 20:00;0;2830
1.1.2021 21:00;0;2520
1.1.2021 22:00;3930;0
1.1.2021 23:00;3690;0
2.1.2021 0:00;3940;0
2.1.2021 1:00;2310;0
2.1.2021 2:00;2480;0
2.1.2021 3:00;2750;0
2.1.2021 4:00;2360;0
2.1.2021 5:00;2790;0
2.1.2021 6:00;2350;0
2.1.2021 7:00;0;2750
2.1.2021 8:00;0;2170
2.1.2021 9:00;0;1900
2.1.2021 10:00;0;1930
2.1.2021 11:00;0;2230
2.1.2021 12:00;0;2500
2.1.2021 13:00;0;3640
2.1.2021 14:00;0;2770
2.1.2021 15:00;0;2580
2.1.2021 16:00;0;3380
2.1.2021 17:00;0;3500
2.1.2021 18:00;0;3000
2.1.2021 19:00;0;3690
2.1.2021 20:00;0;4580
2.1.2021 21:00;0;2680
2.1.2021 22:00;4320;0
2.1.2021 23:00;4100;0
3.1.2021 0:00;4030;0
3.1.2021 1:00;3190;0
3.1.2021 2:00;2620;0
3.1.2021 3:00;2900;0
3.1.2021 4:00;2420;0
3.1.2021 5:00;2880;0
3.1.2021 6:00;2480;0
3.1.2021 7:00;0;2830
3.1.2021 8:00;0;1880
3.1.2021 9:00;0;2320
3.1.2021 10:00;0;1920
3.1.2021 11:00;0;1910
3.1.2021 12:00;0;2650
3.1.2021 13:00;0;2800
3.1.2021 14:00;0;3170
3.1.2021 15:00;0;3880
3.1.2021 16:00;0;3400
3.1.2021 17:00;0;2670
3.1.2021 18:00;0;2990
3.1.2021 19:00;0;2300
3.1.2021 20:00;0;2530
3.1.2021 21:00;0;2100
3.1.2021 22:00;3970;0
3.1.2021 23:00;3450;0
4.1.2021 0:00;2310;0
4.1.2021 1:00;1780;0
4.1.2021 2:00;2620;0
4.1.2021 3:00;2190;0
4.1.2021 4:00;2570;0
4.1.2021 5:00;2230;0
4.1.2021 6:00;2590;0
4.1.2021 7:00;0;2160
4.1.2021 8:00;0;2450
4.1.2021 9:00;0;1710
4.1.2021 10:00;0;2240
4.1.2021 11:00;0;2600
4.1.2021 12:00;0;2420
4.1.2021 13:00;0;2970
4.1.2021 14:00;0;3600
4.1.2021 15:00;0;2690
4.1.2021 16:00;0;3330
4.1.2021 17:00;0;3240
4.1.2021 18:00;0;2930
4.1.2021 19:00;0;3150
4.1.2021 20:00;0;3350
4.1.2021 21:00;0;2970
4.1.2021 22:00;4110;0
4.1.2021 23:00;4110;0
5.1.2021 0:00;2670;0
5.1.2021 1:00;2830;0
5.1.2021 2:00;2620;0
5.1.2021 3:00;2960;0
5.1.2021 4:00;2760;0
5.1.2021 5:00;3010;0
5.1.2021 6:00;3170;0
5.1.2021 7:00;0;3330
5.1.2021 8:00;0;3920
5.1.2021 9:00;0;1850
5.1.2021 10:00;0;2480
5.1.2021 11:00;0;2290
5.1.2021 12:00;0;2530
5.1.2021 13:00;0;4120
5.1.2021 14:00;0;3980
5.1.2021 15:00;0;3470
5.1.2021 16:00;0;2890
5.1.2021 17:00;0;3250
5.1.2021 18:00;0;3100
5.1.2021 19:00;0;3600
5.1.2021 20:00;0;3650
5.1.2021 21:00;0;3730
5.1.2021 22:00;5980;0
5.1.2021 23:00;4480;0
6.1.2021 0:00;4150;0
6.1.2021 1:00;2070;0
6.1.2021 2:00;2140;0
6.1.2021 3:00;2850;0
6.1.2021 4:00;2790;0
6.1.2021 5:00;3050;0
6.1.2021 6:00;2650;0
6.1.2021 7:00;0;3200
6.1.2021 8:00;0;2770
6.1.2021 9:00;0;3650
6.1.2021 10:00;0;3850
6.1.2021 11:00;0;3150
6.1.2021 12:00;0;2660
6.1.2021 13:00;0;2860
6.1.2021 14:00;0;3450
6.1.2021 15:00;0;2160
6.1.2021 16:00;0;2960
6.1.2021 17:00;0;2530
6.1.2021 18:00;0;2800
6.1.2021 19:00;0;3370
6.1.2021 20:00;0;3480
6.1.2021 21:00;0;4290
6.1.2021 22:00;4840;0
6.1.2021 23:00;4830;0
7.1.2021 0:00;2290;0
7.1.2021 1:00;2060;0
7.1.2021 2:00;1900;0
7.1.2021 3:00;2160;0
7.1.2021 4:00;2050;0
7.1.2021 5:00;2790;0
7.1.2021 6:00;3520;0
7.1.2021 7:00;0;3840
7.1.2021 8:00;0;5420
7.1.2021 9:00;0;3700
7.1.2021 10:00;0;3490
7.1.2021 11:00;0;2620
7.1.2021 12:00;0;3180
7.1.2021 13:00;0;2350
7.1.2021 14:00;0;2370
7.1.2021 15:00;0;3520
7.1.2021 16:00;0;3240
7.1.2021 17:00;0;2850
7.1.2021 18:00;0;3570
7.1.2021 19:00;0;3550
7.1.2021 20:00;0;3500
7.1.2021 21:00;0;4530
7.1.2021 22:00;4840;0
7.1.2021 23:00;6000;0
8.1.2021 0:00;3490;0
8.1.2021 1:00;3140;0
8.1.2021 2:00;3220;0
8.1.2021 3:00;3050;0
8.1.2021 4:00;2400;0
8.1.2021 5:00;2140;0
